tractcode,state,sta,county,countyname,tract,hhuniv,estimated_number_foreclosures,estimated_number_mortgages,estimated_foreclosure_rate,total_90_day_vacant_residential_addresses,total_residential_addresses,estimated_90_day_vacancy_rate,total_hicost_2004_to_2006_HMDA_loans,total_2004_to_2006_HMDA_loans,estimated_hicost_loan_rate,bls_unemployment_rate,ofheo_price_change
53021020601,53,WA,021,Franklin County,020601,"1,343",21,846,2.5%,0,"1,608",0.0%,116,550,21.1%,6.2%,0.0%
53021020602,53,WA,021,Franklin County,020602,"1,082",110,"3,427",3.2%,1,"5,688",0.0%,607,"2,228",27.2%,6.3%,0.0%
53021020700,53,WA,021,Franklin County,020700,453,13,357,3.6%,0,317,0.0%,73,232,31.5%,6.2%,0.0%
53021020800,53,WA,021,Franklin County,020800,"1,808",10,223,4.5%,0,719,0.0%,55,145,37.9%,6.2%,0.0%
53023970100,53,WA,023,Garfield County,970100,165,0,25,0.0%,0,124,0.0%,1,16,6.3%,5.6%,0.0%
53023970200,53,WA,023,Garfield County,970200,834,6,183,3.3%,0,270,0.0%,37,119,31.1%,5.6%,0.0%
53025980100,53,WA,025,Grant County,980100,"1,583",9,294,3.1%,6,638,0.9%,50,191,26.2%,5.9%,0.0%
53025980200,53,WA,025,Grant County,980200,787,4,203,2.0%,1,712,0.1%,24,132,18.2%,5.9%,0.0%
53025980300,53,WA,025,Grant County,980300,"1,592",7,226,3.1%,0,696,0.0%,40,147,27.2%,5.9%,0.0%
53025980400,53,WA,025,Grant County,980400,"2,741",33,932,3.5%,102,"3,029",3.4%,189,606,31.2%,5.9%,0.0%
53025980500,53,WA,025,Grant County,980500,988,2,166,1.2%,0,"1,169",0.0%,11,108,10.2%,5.9%,0.0%
53025980600,53,WA,025,Grant County,980600,"1,498",13,403,3.2%,17,"1,766",1.0%,74,262,28.2%,5.9%,0.0%
53025980700,53,WA,025,Grant County,980700,944,5,202,2.5%,0,"1,029",0.0%,28,131,21.4%,5.9%,0.0%
53025980800,53,WA,025,Grant County,980800,"1,207",11,226,4.9%,30,"1,549",1.9%,61,147,41.5%,5.9%,0.0%
53025980900,53,WA,025,Grant County,980900,"3,300",46,"1,235",3.7%,117,"4,140",2.8%,265,803,33.0%,5.9%,0.0%
53025981000,53,WA,025,Grant County,981000,"2,871",41,"1,685",2.4%,46,"3,745",1.2%,232,"1,095",21.2%,5.9%,0.0%
53025981100,53,WA,025,Grant County,981100,"2,306",28,752,3.7%,117,"2,951",4.0%,164,489,33.5%,5.9%,0.0%
53025981200,53,WA,025,Grant County,981200,"1,389",8,392,2.0%,1,"1,727",0.1%,46,255,18.0%,5.9%,0.0%
53025981300,53,WA,025,Grant County,981300,"1,137",8,168,4.8%,0,497,0.0%,46,109,42.2%,5.9%,0.0%
53025981400,53,WA,025,Grant County,981400,"2,864",7,289,2.4%,0,"1,640",0.0%,38,188,20.2%,5.9%,0.0%
53027000100,53,WA,027,Grays Harbor County,000100,356,1,14,7.1%,0,7,0.0%,3,9,33.3%,8.2%,0.0%
53027000200,53,WA,027,Grays Harbor County,000200,"2,763",53,"1,508",3.5%,0,"2,317",0.0%,244,980,24.9%,8.2%,0.0%
53027000300,53,WA,027,Grays Harbor County,000300,"1,275",12,352,3.4%,0,"1,001",0.0%,58,229,25.3%,8.2%,0.0%
53027000400,53,WA,027,Grays Harbor County,000400,"2,430",41,"1,085",3.8%,78,"2,666",2.9%,192,705,27.2%,8.2%,0.0%
53027000500,53,WA,027,Grays Harbor County,000500,"2,371",39,852,4.6%,0,"1,588",0.0%,190,554,34.3%,8.2%,0.0%
53027000600,53,WA,027,Grays Harbor County,000600,"1,231",31,731,4.2%,0,897,0.0%,152,475,32.0%,8.2%,0.0%
53027000700,53,WA,027,Grays Harbor County,000700,"1,459",29,689,4.2%,0,"1,118",0.0%,143,448,31.9%,8.2%,0.0%
53027000800,53,WA,027,Grays Harbor County,000800,"1,627",20,605,3.3%,68,"1,716",4.0%,91,393,23.2%,8.2%,0.0%
53027000900,53,WA,027,Grays Harbor County,000900,"2,294",36,674,5.3%,118,"1,900",6.2%,183,438,41.8%,8.2%,0.0%
53027001000,53,WA,027,Grays Harbor County,001000,"1,486",12,240,5.0%,158,"1,559",10.1%,60,156,38.5%,8.2%,0.0%
53027001100,53,WA,027,Grays Harbor County,001100,"1,708",24,635,3.8%,118,"1,891",6.2%,116,413,28.1%,8.2%,0.0%
53027001200,53,WA,027,Grays Harbor County,001200,"1,685",37,645,5.7%,165,"1,786",9.2%,191,419,45.6%,8.2%,0.0%
53027001300,53,WA,027,Grays Harbor County,001300,"1,459",20,378,5.3%,130,"1,629",8.0%,102,246,41.5%,8.2%,0.0%
53027001400,53,WA,027,Grays Harbor County,001400,896,12,234,5.1%,79,925,8.5%,63,152,41.4%,8.2%,0.0%
53027001500,53,WA,027,Grays Harbor County,001500,"1,643",25,460,5.4%,135,"1,818",7.4%,128,299,42.8%,8.2%,0.0%
53027001600,53,WA,027,Grays Harbor County,001600,"2,124",18,515,3.5%,0,480,0.0%,81,335,24.2%,8.2%,0.0%
53029970100,53,WA,029,Island County,970100,"1,445",14,549,2.6%,0,"1,707",0.0%,79,357,22.1%,6.2%,0.0%
53029970200,53,WA,029,Island County,970200,311,1,57,1.8%,0,451,0.0%,4,37,10.8%,6.2%,0.0%
53029970300,53,WA,029,Island County,970300,"1,386",7,578,1.2%,0,"1,537",0.0%,36,376,9.6%,6.2%,0.0%
53029970400,53,WA,029,Island County,970400,"1,665",19,760,2.5%,21,"2,325",0.9%,102,494,20.6%,6.2%,0.0%
53029970500,53,WA,029,Island County,970500,"1,597",25,"1,148",2.2%,0,"2,238",0.0%,134,746,18.0%,6.2%,0.0%
53029970601,53,WA,029,Island County,970601,"1,378",14,434,3.2%,41,"1,539",2.7%,76,282,27.0%,6.2%,0.0%
53029970602,53,WA,029,Island County,970602,"1,352",5,362,1.4%,31,"1,485",2.1%,28,235,11.9%,6.2%,0.0%
53029970700,53,WA,029,Island County,970700,"1,000",4,183,2.2%,52,"1,128",4.6%,20,119,16.8%,6.2%,0.0%
53029970800,53,WA,029,Island County,970800,"1,093",13,394,3.3%,28,"1,215",2.3%,72,256,28.1%,6.2%,0.0%
53029970900,53,WA,029,Island County,970900,"1,277",0,22,0.0%,119,"1,384",8.6%,2,14,14.3%,6.2%,0.0%
53029971000,53,WA,029,Island County,971000,"1,786",17,815,2.1%,0,"1,622",0.0%,94,530,17.7%,6.2%,0.0%
53029971100,53,WA,029,Island County,971100,"1,163",13,669,1.9%,0,"1,406",0.0%,67,435,15.4%,6.2%,0.0%
53029971300,53,WA,029,Island County,971300,"1,660",24,"1,114",2.2%,0,"2,019",0.0%,128,724,17.7%,6.2%,0.0%
53029971400,53,WA,029,Island County,971400,"1,433",23,"1,192",1.9%,0,"1,924",0.0%,123,775,15.9%,6.2%,0.0%
53029971500,53,WA,029,Island County,971500,"1,244",15,797,1.9%,0,"1,517",0.0%,79,518,15.3%,6.2%,0.0%
53029971600,53,WA,029,Island County,971600,"1,195",32,"1,092",2.9%,0,"1,517",0.0%,176,710,24.8%,6.2%,0.0%
53029971700,53,WA,029,Island County,971700,"1,530",31,"1,066",2.9%,0,"1,878",0.0%,173,693,25.0%,6.2%,0.0%
53029971800,53,WA,029,Island County,971800,974,10,615,1.6%,0,"1,232",0.0%,52,400,13.0%,6.2%,0.0%
53029971900,53,WA,029,Island County,971900,"1,330",14,798,1.8%,0,"1,630",0.0%,72,519,13.9%,6.2%,0.0%
53029972000,53,WA,029,Island County,972000,"1,570",10,786,1.3%,0,"1,549",0.0%,53,511,10.4%,6.2%,0.0%
53029972100,53,WA,029,Island County,972100,"1,367",21,920,2.3%,0,"1,485",0.0%,115,598,19.2%,6.2%,0.0%
53031950100,53,WA,031,Jefferson County,950100,225,0,12,0.0%,0,100,0.0%,1,8,12.5%,6.1%,0.0%
53031950201,53,WA,031,Jefferson County,950201,579,4,166,2.4%,0,548,0.0%,23,108,21.3%,6.1%,0.0%
53031950202,53,WA,031,Jefferson County,950202,681,6,215,2.8%,0,553,0.0%,35,140,25.0%,6.1%,0.0%
53031950300,53,WA,031,Jefferson County,950300,"2,146",18,"1,261",1.4%,0,"3,005",0.0%,96,820,11.7%,6.1%,0.0%
53031950400,53,WA,031,Jefferson County,950400,"1,570",16,512,3.1%,0,"1,417",0.0%,89,333,26.7%,6.1%,0.0%
53031950500,53,WA,031,Jefferson County,950500,"2,469",10,731,1.4%,0,"2,876",0.0%,51,475,10.7%,6.1%,0.0%
53031950601,53,WA,031,Jefferson County,950601,"2,925",13,829,1.6%,201,"3,695",5.4%,70,539,13.0%,6.1%,0.0%
53031950602,53,WA,031,Jefferson County,950602,"1,054",4,386,1.0%,62,"1,370",4.5%,21,251,8.4%,6.1%,0.0%
53033000100,53,WA,033,King County,000100,"2,581",4,"1,197",0.3%,71,"3,136",2.3%,61,778,7.8%,3.6%,0.0%
53033000200,53,WA,033,King County,000200,"3,379",9,"1,605",0.6%,32,"3,645",0.9%,107,"1,043",10.3%,3.6%,0.0%
53033000300,53,WA,033,King County,000300,"1,063",3,689,0.4%,16,"1,130",1.4%,43,448,9.6%,3.6%,0.0%
53033000401,53,WA,033,King County,000401,"2,675",8,686,1.2%,64,"3,101",2.1%,70,446,15.7%,3.6%,0.0%
53033000402,53,WA,033,King County,000402,"2,156",6,908,0.7%,35,"2,234",1.6%,66,590,11.2%,3.6%,0.0%
53033000500,53,WA,033,King County,000500,"1,346",2,740,0.3%,15,"1,338",1.1%,35,481,7.3%,3.6%,0.0%
53033000600,53,WA,033,King County,000600,"3,158",10,"1,508",0.7%,75,"3,491",2.1%,109,980,11.1%,3.6%,0.0%
53033000700,53,WA,033,King County,000700,"2,037",11,968,1.1%,64,"2,237",2.9%,97,629,15.4%,3.6%,0.0%
53033000800,53,WA,033,King County,000800,"1,032",3,581,0.5%,29,"1,048",2.8%,35,378,9.3%,3.6%,0.0%
53033000900,53,WA,033,King County,000900,842,1,532,0.2%,37,856,4.3%,21,346,6.1%,3.6%,0.0%
53033001000,53,WA,033,King County,001000,730,3,338,0.9%,17,794,2.1%,27,220,12.3%,3.6%,0.0%
53033001100,53,WA,033,King County,001100,"1,029",2,558,0.4%,25,"1,054",2.4%,29,363,8.0%,3.6%,0.0%
53033001200,53,WA,033,King County,001200,"3,318",3,705,0.4%,50,"3,359",1.5%,41,458,9.0%,3.6%,0.0%
53033001300,53,WA,033,King County,001300,"2,017",7,908,0.8%,114,"2,210",5.2%,74,590,12.5%,3.6%,0.0%
53033001400,53,WA,033,King County,001400,"2,144",5,946,0.5%,42,"2,240",1.9%,62,615,10.1%,3.6%,0.0%
53033001500,53,WA,033,King County,001500,"1,055",2,635,0.3%,29,"1,108",2.6%,32,413,7.7%,3.6%,0.0%
53033001600,53,WA,033,King County,001600,"1,739",2,931,0.2%,9,"1,831",0.5%,41,605,6.8%,3.6%,0.0%
53033001700,53,WA,033,King County,001700,"3,417",16,"1,969",0.8%,132,"3,967",3.3%,161,"1,280",12.6%,3.6%,0.0%
53033001800,53,WA,033,King County,001800,"1,884",6,"1,338",0.4%,116,"2,147",5.4%,78,870,9.0%,3.6%,0.0%
53033001900,53,WA,033,King County,001900,"1,583",6,"1,049",0.6%,48,"1,645",2.9%,69,682,10.1%,3.6%,0.0%
53033002000,53,WA,033,King County,002000,"1,498",2,883,0.2%,19,"1,545",1.2%,42,574,7.3%,3.6%,0.0%
53033002100,53,WA,033,King County,002100,"1,631",2,841,0.2%,62,"1,751",3.5%,40,547,7.3%,3.6%,0.0%
53033002200,53,WA,033,King County,002200,"2,128",0,"1,040",0.0%,41,"2,220",1.8%,20,676,3.0%,3.6%,0.0%
53033002400,53,WA,033,King County,002400,"1,251",1,621,0.2%,21,"1,300",1.6%,25,404,6.2%,3.6%,0.0%
53033002500,53,WA,033,King County,002500,"1,156",0,646,0.0%,30,"1,293",2.3%,17,420,4.0%,3.6%,0.0%
53033002600,53,WA,033,King County,002600,"1,927",0,"1,112",0.0%,64,"1,997",3.2%,37,723,5.1%,3.6%,0.0%
53033002700,53,WA,033,King County,002700,"2,205",1,"1,280",0.1%,97,"2,305",4.2%,51,832,6.1%,3.6%,0.0%
53033002800,53,WA,033,King County,002800,"2,070",3,"1,221",0.2%,71,"2,183",3.3%,58,794,7.3%,3.6%,0.0%
53033002900,53,WA,033,King County,002900,"1,836",0,997,0.0%,38,"1,887",2.0%,34,648,5.2%,3.6%,0.0%
53033003000,53,WA,033,King County,003000,"2,375",6,"1,660",0.4%,76,"2,476",3.1%,91,"1,079",8.4%,3.6%,0.0%
53033003100,53,WA,033,King County,003100,"2,600",0,"1,494",0.0%,55,"2,703",2.0%,52,971,5.4%,3.6%,0.0%
53033003200,53,WA,033,King County,003200,"3,776",0,"1,548",0.0%,144,"3,982",3.6%,54,"1,006",5.4%,3.6%,0.0%
53033003300,53,WA,033,King County,003300,"2,914",3,"1,258",0.2%,81,"3,151",2.6%,58,818,7.1%,3.6%,0.0%
53033003400,53,WA,033,King County,003400,"1,475",3,711,0.4%,30,"1,503",2.0%,41,462,8.9%,3.6%,0.0%
53033003500,53,WA,033,King County,003500,"1,762",0,798,0.0%,48,"1,738",2.8%,25,519,4.8%,3.6%,0.0%
53033003600,53,WA,033,King County,003600,"2,715",4,"1,015",0.4%,54,"3,017",1.8%,60,660,9.1%,3.6%,0.0%
53033003800,53,WA,033,King County,003800,815,0,348,0.0%,13,822,1.6%,11,226,4.9%,3.6%,0.0%
53033003900,53,WA,033,King County,003900,"1,156",0,580,0.0%,34,"1,181",2.9%,19,377,5.0%,3.6%,0.0%
53033004000,53,WA,033,King County,004000,"1,138",2,729,0.3%,58,"1,196",4.8%,36,474,7.6%,3.6%,0.0%
53033004100,53,WA,033,King County,004100,"3,038",0,"1,432",0.0%,77,"3,384",2.3%,28,931,3.0%,3.6%,0.0%
53033004200,53,WA,033,King County,004200,"3,131",0,"1,628",0.0%,75,"3,267",2.3%,39,"1,058",3.7%,3.6%,0.0%
53033004300,53,WA,033,King County,004300,"2,607",2,680,0.3%,96,"2,897",3.3%,32,442,7.2%,3.6%,0.0%
53033004400,53,WA,033,King County,004400,"2,471",3,575,0.5%,92,"2,495",3.7%,35,374,9.4%,3.6%,0.0%
53033004500,53,WA,033,King County,004500,980,1,658,0.2%,15,966,1.6%,29,428,6.8%,3.6%,0.0%
53033004600,53,WA,033,King County,004600,"1,344",0,721,0.0%,27,"1,426",1.9%,21,469,4.5%,3.6%,0.0%
53033004700,53,WA,033,King County,004700,"2,854",1,"1,061",0.1%,238,"3,689",6.5%,44,690,6.4%,3.6%,0.0%
53033004800,53,WA,033,King County,004800,"2,143",1,961,0.1%,96,"2,190",4.4%,41,625,6.6%,3.6%,0.0%
53033004900,53,WA,033,King County,004900,"3,329",1,863,0.1%,139,"3,678",3.8%,36,561,6.4%,3.6%,0.0%
53033005000,53,WA,033,King County,005000,"1,695",1,551,0.2%,41,"1,976",2.1%,25,358,7.0%,3.6%,0.0%
53033005100,53,WA,033,King County,005100,"1,561",1,706,0.1%,40,"1,671",2.4%,28,459,6.1%,3.6%,0.0%
53033005200,53,WA,033,King County,005200,"2,609",2,551,0.4%,88,"2,825",3.1%,28,358,7.8%,3.6%,0.0%
53033005301,53,WA,033,King County,005301,"2,344",1,58,1.7%,127,"2,850",4.5%,7,38,18.4%,3.6%,0.0%
53033005302,53,WA,033,King County,005302,259,0,2,0.0%,9,209,4.3%,0,1,0.0%,3.6%,0.0%
53033005400,53,WA,033,King County,005400,"2,258",1,"1,080",0.1%,157,"2,693",5.8%,41,702,5.8%,3.6%,0.0%
53033005600,53,WA,033,King County,005600,"2,700",0,"1,861",0.0%,133,"2,760",4.8%,59,"1,210",4.9%,3.6%,0.0%
53033005700,53,WA,033,King County,005700,"2,711",1,"1,509",0.1%,86,"2,915",3.0%,57,981,5.8%,3.6%,0.0%
53033005801,53,WA,033,King County,005801,"2,470",4,"1,055",0.4%,59,"2,687",2.2%,59,686,8.6%,3.6%,0.0%
53033005802,53,WA,033,King County,005802,"2,424",7,"1,066",0.7%,68,"2,633",2.6%,75,693,10.8%,3.6%,0.0%
53033005900,53,WA,033,King County,005900,"2,548",2,"1,392",0.1%,102,"2,701",3.8%,59,905,6.5%,3.6%,0.0%
53033006000,53,WA,033,King County,006000,"2,445",1,"1,165",0.1%,107,"2,624",4.1%,47,757,6.2%,3.6%,0.0%
53033006100,53,WA,033,King County,006100,"2,595",1,994,0.1%,99,"2,819",3.5%,42,646,6.5%,3.6%,0.0%
53033006200,53,WA,033,King County,006200,"1,537",0,926,0.0%,28,"1,564",1.8%,25,602,4.2%,3.6%,0.0%
53033006300,53,WA,033,King County,006300,"2,673",0,"1,071",0.0%,67,"2,852",2.3%,22,696,3.2%,3.6%,0.0%
53033006400,53,WA,033,King County,006400,"1,257",0,654,0.0%,24,"1,272",1.9%,19,425,4.5%,3.6%,0.0%
53033006500,53,WA,033,King County,006500,"2,290",1,961,0.1%,59,"2,467",2.4%,36,625,5.8%,3.6%,0.0%
53033006600,53,WA,033,King County,006600,"1,807",2,545,0.4%,46,"2,074",2.2%,28,354,7.9%,3.6%,0.0%
53033006700,53,WA,033,King County,006700,"3,196",4,"1,840",0.2%,88,"4,208",2.1%,86,"1,196",7.2%,3.6%,0.0%
53033006800,53,WA,033,King County,006800,"1,251",0,562,0.0%,25,"1,264",2.0%,11,365,3.0%,3.6%,0.0%
53033006900,53,WA,033,King County,006900,"2,089",0,"1,057",0.0%,61,"2,218",2.8%,37,687,5.4%,3.6%,0.0%
53033007000,53,WA,033,King County,007000,"4,833",0,"1,175",0.0%,47,"5,145",0.9%,29,764,3.8%,3.6%,0.0%
53033007100,53,WA,033,King County,007100,"1,327",3,765,0.4%,35,"2,047",1.7%,45,497,9.1%,3.6%,0.0%
53033007200,53,WA,033,King County,007200,"2,062",1,209,0.5%,84,"3,085",2.7%,13,136,9.6%,3.6%,0.0%
53033007300,53,WA,033,King County,007300,"1,005",1,80,1.3%,178,"2,902",6.1%,7,52,13.5%,3.6%,0.0%
53033007400,53,WA,033,King County,007400,"6,436",8,"1,486",0.5%,83,"6,907",1.2%,96,966,9.9%,3.6%,0.0%
53033007500,53,WA,033,King County,007500,"3,642",5,909,0.6%,75,"4,146",1.8%,59,591,10.0%,3.6%,0.0%
53033007600,53,WA,033,King County,007600,"1,751",2,628,0.3%,22,"1,892",1.2%,33,408,8.1%,3.6%,0.0%
53033007700,53,WA,033,King County,007700,"1,916",14,"1,466",1.0%,57,"2,146",2.7%,134,953,14.1%,3.6%,0.0%
53033007800,53,WA,033,King County,007800,"2,104",4,"1,391",0.3%,72,"2,194",3.3%,71,904,7.9%,3.6%,0.0%
53033007900,53,WA,033,King County,007900,"2,397",9,"1,021",0.9%,77,"3,108",2.5%,85,664,12.8%,3.6%,0.0%
53033008001,53,WA,033,King County,008001,"2,411",4,"2,101",0.2%,283,"4,202",6.7%,96,"1,366",7.0%,3.6%,0.0%
53033008002,53,WA,033,King County,008002,"1,863",1,611,0.2%,117,"2,346",5.0%,27,397,6.8%,3.6%,0.0%
53033008100,53,WA,033,King County,008100,"1,956",1,491,0.2%,177,"2,973",6.0%,23,319,7.2%,3.6%,0.0%
53033008200,53,WA,033,King County,008200,"2,025",3,262,1.1%,79,"2,014",3.9%,24,170,14.1%,3.6%,0.0%
53033008300,53,WA,033,King County,008300,"1,641",1,497,0.2%,137,"2,278",6.0%,20,323,6.2%,3.6%,0.0%
53033008400,53,WA,033,King County,008400,"2,675",0,395,0.0%,65,"3,061",2.1%,16,257,6.2%,3.6%,0.0%
53033008500,53,WA,033,King County,008500,"1,572",0,69,0.0%,11,"1,523",0.7%,4,45,8.9%,3.6%,0.0%
53033008600,53,WA,033,King County,008600,"1,275",4,408,1.0%,40,"1,833",2.2%,39,265,14.7%,3.6%,0.0%
53033008700,53,WA,033,King County,008700,"1,514",10,868,1.2%,49,"1,741",2.8%,86,564,15.2%,3.6%,0.0%
53033008800,53,WA,033,King County,008800,"1,469",14,911,1.5%,66,"1,482",4.5%,114,592,19.3%,3.6%,0.0%
53033008900,53,WA,033,King County,008900,"1,830",11,"1,232",0.9%,102,"2,143",4.8%,109,801,13.6%,3.6%,0.0%
53033009000,53,WA,033,King County,009000,926,9,512,1.8%,78,"1,431",5.5%,68,333,20.4%,3.6%,0.0%
53033009100,53,WA,033,King County,009100,885,1,75,1.3%,15,"1,372",1.1%,9,49,18.4%,3.6%,0.0%
53033009200,53,WA,033,King County,009200,"1,245",0,57,0.0%,82,"1,746",4.7%,3,37,8.1%,3.6%,0.0%
53033009300,53,WA,033,King County,009300,909,2,472,0.4%,30,989,3.0%,29,307,9.4%,3.6%,0.0%
53033009400,53,WA,033,King County,009400,"2,119",11,855,1.3%,95,"2,275",4.2%,92,556,16.5%,3.6%,0.0%
53033009500,53,WA,033,King County,009500,"2,306",10,"1,406",0.7%,68,"2,587",2.6%,104,914,11.4%,3.6%,0.0%
53033009600,53,WA,033,King County,009600,"2,614",1,"1,358",0.1%,117,"2,925",4.0%,52,883,5.9%,3.6%,0.0%
53033009701,53,WA,033,King County,009701,"2,860",3,"1,180",0.3%,121,"3,003",4.0%,58,767,7.6%,3.6%,0.0%
53033009702,53,WA,033,King County,009702,"2,210",4,"1,589",0.3%,50,"2,296",2.2%,79,"1,033",7.6%,3.6%,0.0%
53033009800,53,WA,033,King County,009800,"2,798",4,"1,708",0.2%,77,"2,960",2.6%,83,"1,110",7.5%,3.6%,0.0%
53033009900,53,WA,033,King County,009900,"2,111",13,"1,517",0.9%,56,"2,501",2.2%,126,986,12.8%,3.6%,0.0%
53033010000,53,WA,033,King County,010000,"2,953",11,"1,163",0.9%,83,"3,171",2.6%,102,756,13.5%,3.6%,0.0%
53033010100,53,WA,033,King County,010100,"2,159",21,"1,508",1.4%,63,"2,760",2.3%,174,980,17.8%,3.6%,0.0%
53033010200,53,WA,033,King County,010200,"1,868",15,"1,409",1.1%,33,"1,988",1.7%,138,916,15.1%,3.6%,0.0%
53033010300,53,WA,033,King County,010300,"2,216",23,"1,292",1.8%,65,"2,382",2.7%,181,840,21.5%,3.6%,0.0%
53033010400,53,WA,033,King County,010400,"2,782",26,"1,761",1.5%,67,"3,044",2.2%,212,"1,145",18.5%,3.6%,0.0%
53033010500,53,WA,033,King County,010500,"2,659",7,"1,661",0.4%,61,"3,176",1.9%,100,"1,080",9.3%,3.6%,0.0%
53033010600,53,WA,033,King County,010600,"3,526",9,"2,186",0.4%,75,"3,714",2.0%,126,"1,421",8.9%,3.6%,0.0%
53033010700,53,WA,033,King County,010700,"2,121",13,"1,011",1.3%,33,"2,357",1.4%,113,657,17.2%,3.6%,0.0%
53033010800,53,WA,033,King County,010800,"1,456",21,"1,311",1.6%,34,"1,642",2.1%,170,852,20.0%,3.6%,0.0%
53033010900,53,WA,033,King County,010900,546,5,325,1.5%,29,649,4.5%,42,211,19.9%,3.6%,0.0%
53033011000,53,WA,033,King County,011000,"1,865",20,"1,300",1.5%,76,"2,770",2.7%,164,845,19.4%,3.6%,0.0%
53033011101,53,WA,033,King County,011101,"1,393",22,961,2.3%,35,"1,480",2.4%,162,625,25.9%,3.6%,0.0%
53033011102,53,WA,033,King County,011102,"1,416",11,768,1.4%,32,"1,562",2.0%,88,499,17.6%,3.6%,0.0%
53033011200,53,WA,033,King County,011200,"1,228",18,777,2.3%,56,"1,351",4.1%,129,505,25.5%,3.6%,0.0%
53033011300,53,WA,033,King County,011300,"2,195",27,"1,689",1.6%,36,"2,359",1.5%,216,"1,098",19.7%,3.6%,0.0%
53033011400,53,WA,033,King County,011400,"3,271",34,"1,804",1.9%,62,"3,518",1.8%,262,"1,173",22.3%,3.6%,0.0%
53033011500,53,WA,033,King County,011500,"1,933",10,"1,475",0.7%,35,"1,981",1.8%,111,959,11.6%,3.6%,0.0%
53033011600,53,WA,033,King County,011600,"2,806",7,"1,761",0.4%,56,"2,947",1.9%,98,"1,145",8.6%,3.6%,0.0%
53033011700,53,WA,033,King County,011700,"1,583",26,"1,249",2.1%,57,"1,729",3.3%,194,812,23.9%,3.6%,0.0%
53033011800,53,WA,033,King County,011800,"2,643",36,"1,505",2.4%,116,"3,037",3.8%,261,978,26.7%,3.6%,0.0%
53033011900,53,WA,033,King County,011900,"2,478",48,"2,141",2.2%,116,"2,598",4.5%,356,"1,392",25.6%,3.6%,0.0%
53033012000,53,WA,033,King County,012000,"1,412",13,"1,157",1.1%,18,"1,520",1.2%,116,752,15.4%,3.6%,0.0%
53033012100,53,WA,033,King County,012100,"1,190",4,800,0.5%,15,"1,216",1.2%,48,520,9.2%,3.6%,0.0%
53033020100,53,WA,033,King County,020100,"1,216",1,723,0.1%,23,"1,297",1.8%,28,470,6.0%,3.9%,0.0%
53033020200,53,WA,033,King County,020200,"2,125",10,"1,101",0.9%,29,"2,067",1.4%,92,716,12.8%,3.9%,0.0%
53033020300,53,WA,033,King County,020300,"2,517",17,"1,285",1.3%,30,"2,600",1.2%,135,835,16.2%,3.9%,0.0%
53033020401,53,WA,033,King County,020401,"1,375",18,"1,066",1.7%,44,"1,456",3.0%,135,693,19.5%,3.9%,0.0%
53033020402,53,WA,033,King County,020402,"2,163",10,"1,300",0.8%,33,"2,251",1.5%,96,845,11.4%,3.9%,0.0%
53033020500,53,WA,033,King County,020500,"2,579",21,"1,594",1.3%,45,"2,736",1.6%,168,"1,036",16.2%,3.9%,0.0%
53033020600,53,WA,033,King County,020600,"1,323",12,917,1.3%,26,"1,341",1.9%,96,596,16.1%,3.9%,0.0%
53033020700,53,WA,033,King County,020700,"1,409",8,751,1.1%,19,"1,526",1.2%,66,488,13.5%,3.9%,0.0%
53033020800,53,WA,033,King County,020800,"1,753",5,911,0.5%,20,"1,827",1.1%,54,592,9.1%,3.9%,0.0%
53033020900,53,WA,033,King County,020900,"1,297",7,768,0.9%,22,"1,353",1.6%,61,499,12.2%,3.9%,0.0%
53033021000,53,WA,033,King County,021000,"2,090",17,"1,292",1.3%,24,"2,194",1.1%,135,840,16.1%,3.9%,0.0%
53033021100,53,WA,033,King County,021100,"1,574",13,988,1.3%,28,"1,655",1.7%,103,642,16.0%,3.9%,0.0%
53033021300,53,WA,033,King County,021300,"1,647",7,781,0.9%,37,"1,741",2.1%,65,508,12.8%,3.9%,0.0%
53033021400,53,WA,033,King County,021400,"1,421",5,851,0.6%,24,"1,442",1.7%,56,553,10.1%,3.9%,0.0%
53033021500,53,WA,033,King County,021500,"1,625",4,"1,012",0.4%,27,"1,756",1.5%,56,658,8.5%,3.9%,0.0%
53033021600,53,WA,033,King County,021600,"1,760",9,"1,075",0.8%,66,"1,766",3.7%,83,699,11.9%,3.9%,0.0%
53033021700,53,WA,033,King County,021700,"2,421",20,"1,480",1.4%,156,"3,189",4.9%,163,962,16.9%,3.9%,0.0%
53033021802,53,WA,033,King County,021802,"1,746",7,963,0.7%,17,"2,080",0.8%,73,626,11.7%,3.7%,0.0%
53033021803,53,WA,033,King County,021803,"1,716",8,"1,101",0.7%,93,"1,949",4.8%,82,716,11.5%,3.6%,0.0%
53033021804,53,WA,033,King County,021804,"1,664",7,769,0.9%,25,"1,691",1.5%,67,500,13.4%,3.6%,0.0%
53033021903,53,WA,033,King County,021903,"2,435",19,"1,505",1.3%,41,"2,681",1.5%,162,978,16.6%,3.7%,0.0%
53033021904,53,WA,033,King County,021904,"1,639",12,"1,388",0.9%,19,"1,783",1.1%,113,902,12.5%,3.9%,0.0%
53033021905,53,WA,033,King County,021905,"1,863",22,"1,852",1.2%,17,"2,011",0.8%,189,"1,204",15.7%,3.7%,0.0%
53033021906,53,WA,033,King County,021906,"1,452",20,"1,386",1.4%,36,"1,615",2.2%,155,901,17.2%,3.9%,0.0%
