tractcode,state,sta,county,countyname,tract,hhuniv,estimated_number_foreclosures,estimated_number_mortgages,estimated_foreclosure_rate,total_90_day_vacant_residential_addresses,total_residential_addresses,estimated_90_day_vacancy_rate,total_hicost_2004_to_2006_HMDA_loans,total_2004_to_2006_HMDA_loans,estimated_hicost_loan_rate,bls_unemployment_rate,ofheo_price_change
53007960800,53,WA,007,Chelan County,960800,"3,580",38,"1,628",2.3%,156,"4,279",3.6%,197,"1,058",18.6%,6.5%,0.0%
53007960900,53,WA,007,Chelan County,960900,"3,272",42,"1,837",2.3%,98,"3,959",2.5%,216,"1,194",18.1%,6.6%,0.0%
53007961000,53,WA,007,Chelan County,961000,"2,551",28,846,3.3%,142,"2,777",5.1%,148,550,26.9%,6.6%,0.0%
53007961100,53,WA,007,Chelan County,961100,"2,649",41,"1,209",3.4%,170,"3,195",5.3%,223,786,28.4%,6.5%,0.0%
53007961200,53,WA,007,Chelan County,961200,"1,226",9,429,2.1%,0,"1,253",0.0%,47,279,16.8%,6.2%,0.0%
53009980100,53,WA,009,Clallam County,980100,470,0,3,0.0%,0,19,0.0%,0,2,0.0%,7.6%,0.0%
53009980200,53,WA,009,Clallam County,980200,497,3,65,4.6%,0,134,0.0%,15,42,35.7%,7.6%,0.0%
53009980300,53,WA,009,Clallam County,980300,"1,694",11,258,4.3%,0,750,0.0%,55,168,32.7%,7.6%,0.0%
53009980400,53,WA,009,Clallam County,980400,718,2,52,3.8%,0,335,0.0%,10,34,29.4%,7.6%,0.0%
53009980600,53,WA,009,Clallam County,980600,"1,239",7,329,2.1%,0,"1,326",0.0%,31,214,14.5%,7.6%,0.0%
53009980700,53,WA,009,Clallam County,980700,"1,190",14,498,2.8%,63,"1,433",4.4%,68,324,21.0%,7.6%,0.0%
53009980800,53,WA,009,Clallam County,980800,"1,770",22,618,3.6%,67,"1,888",3.5%,106,402,26.4%,7.6%,0.0%
53009980900,53,WA,009,Clallam County,980900,"1,417",13,382,3.4%,83,"1,564",5.3%,61,248,24.6%,7.6%,0.0%
53009981000,53,WA,009,Clallam County,981000,"1,092",9,294,3.1%,58,"1,272",4.6%,42,191,22.0%,7.6%,0.0%
53009981100,53,WA,009,Clallam County,981100,"1,221",11,398,2.8%,45,"1,320",3.4%,53,259,20.5%,7.6%,0.0%
53009981200,53,WA,009,Clallam County,981200,"1,622",13,494,2.6%,74,"1,849",4.0%,58,321,18.1%,7.6%,0.0%
53009981300,53,WA,009,Clallam County,981300,"1,369",13,389,3.3%,0,"1,443",0.0%,65,253,25.7%,7.6%,0.0%
53009981400,53,WA,009,Clallam County,981400,"1,517",10,489,2.0%,0,"1,787",0.0%,45,318,14.2%,7.6%,0.0%
53009981500,53,WA,009,Clallam County,981500,762,3,177,1.7%,0,745,0.0%,14,115,12.2%,7.6%,0.0%
53009981600,53,WA,009,Clallam County,981600,"1,240",9,400,2.3%,0,"1,430",0.0%,42,260,16.2%,7.6%,0.0%
53009981700,53,WA,009,Clallam County,981700,"1,826",13,598,2.2%,0,"2,069",0.0%,58,389,14.9%,7.6%,0.0%
