Location,YEAR,SEATTLE,KENT,NORTH END,EAST SIDE,SW KING CO,WHITE CNTR,FEDERAL WAY,RENTON,NIGHT OWL BUSES,AUBURN,VASHON ISLAND,TOTAL
Structures,2009,215,5,1,4,NA,6,46,8,0,13,NA,298
Under Roadways,2009,242,30,0,9,NA,0,2,6,0,3,NA,292
Doorways,2009,161,0,0,4,NA,0,2,3,0,0,NA,170
City Parks,2009,30,2,0,1,NA,0,0,14,0,0,NA,47
Bushes/Undergrowth,2009,72,7,9,0,NA,1,1,1,0,0,NA,91
Bus Stops,2009,35,1,0,0,NA,0,2,1,0,0,NA,39
Alleys,2009,14,1,0,0,NA,0,3,0,0,0,NA,18
Walking Around,2009,308,13,1,9,NA,1,6,3,0,0,NA,341
Other,2009,364,6,1,85,NA,2,20,3,171,1,NA,653
TOTAL,2009,1977,193,23,158,NA,39,116,90,171,60,NA,2827
Benches,2008,12,0,2,1,NA,0,0,0,0,0,NA,15
Parking Garages,2008,12,0,0,0,NA,0,0,0,0,0,NA,12
Cars/Trucks,2008,652,36,17,41,NA,54,33,18,0,30,NA,881
Structures,2008,212,1,4,10,NA,2,35,0,0,2,NA,266
Under Roadways,2008,156,8,0,5,NA,0,7,5,0,4,NA,185
Doorways,2008,140,0,2,3,NA,0,0,0,0,0,NA,145
City Parks,2008,28,0,0,2,NA,1,0,0,0,1,NA,32
Bushes/Undergrowth,2008,52,4,2,6,NA,0,2,13,0,0,NA,79
Bus Stops,2008,49,1,2,0,NA,1,1,3,0,0,NA,57
Alleys,2008,25,0,0,5,NA,0,1,1,0,0,NA,32
Walking Around,2008,399,5,3,9,NA,0,7,4,0,3,NA,430
Other,2008,239,10,2,71,NA,0,4,0,171,0,NA,497
TOTAL,2008,1976,65,34,153,NA,58,90,44,171,40,NA,2631
Benches,2007,12,2,0,0,NA,0,0,0,0,NA,NA,14
Parking Garages,2007,16,0,0,0,NA,0,0,0,0,NA,NA,16
Cars/Trucks,2007,449,42,36,40,NA,10,48,29,0,NA,NA,654
Structures,2007,131,18,0,6,NA,0,28,6,0,NA,NA,189
Under Roadways,2007,127,16,0,5,NA,0,6,7,0,NA,NA,161
Doorways,2007,170,0,1,0,NA,0,2,5,0,NA,NA,178
City Parks,2007,33,3,1,1,NA,0,0,1,0,NA,NA,39
Bushes/Undergrowth,2007,36,2,8,6,NA,2,1,2,0,NA,NA,57
Bus Stops,2007,23,0,0,0,NA,0,2,4,0,NA,NA,29
Alleys,2007,23,0,0,0,NA,3,3,0,0,NA,NA,29
Walking Around,2007,368,5,0,5,NA,4,13,2,0,NA,NA,397
Other,2007,201,2,1,65,NA,0,3,0,124,NA,NA,396
TOTAL,2007,1589,90,47,128,NA,19,106,56,124,NA,NA,2159
